SITECODE,SITENAME,RELEASE_DA,MS
DE2239401,Nebel und Warinsee,2017/11/29,DE
DE2233401,Stepenitz - Poischower Mühlenbach - Radegast - Maurine,2017/11/29,DE
DE1934401,Wismarbucht und Salzhaff,2017/11/29,DE
DE2309431,Ostfriesische Seemarsch zwischen Norden und Esens,2017/11/29,DE
DE2314431,Voslapper Groden-Nord,2017/11/29,DE
DE2339402,Nossentiner/Schwinzer Heide,2017/11/29,DE
DE2242401,Mecklenburgische Schweiz und Kummerower See,2017/11/29,DE
DE2251403,Binnendünen und Wälder bei Altwarp,2017/11/29,DE
DE2142401,Kämmericher Senke,2017/11/29,DE
DE2243401,Wald bei Grammentin,2017/11/29,DE
DE2414431,Voslapper Groden-Süd,2017/11/29,DE
DE2416431,Butjadingen,2017/11/29,DE
DE2410401,Ewiges Meer,2017/11/29,DE
DE2350401,Ueckermünder Heide,2017/11/29,DE
DE2347401,"Großes Landgrabental, Galenbecker und Putzarer See",2017/11/29,DE
DE2441401,"Klocksiner Seenkette, Kölpin- und Fleesensee",2017/11/29,DE
DE2250471,"Kleines Haff, Neuwarper See und Riether Werder",2017/11/29,DE
DE2344401,Kuppiges Tollensegebiet zwischen Rosenow und Penzlin,2017/11/29,DE
DE2509401,Ostfriesische Meere,2017/11/29,DE
DE2514431,Marschen am  Jadebusen,2017/11/29,DE
DE2408401,Westermarsch,2017/11/29,DE
DE2508401,Krummhörn,2017/11/29,DE
DE2446401,Waldlandschaft bei Cölpin,2017/11/29,DE
DE2448401,Brohmer Berge,2017/11/29,DE
DE2450402,Koblentzer See,2017/11/29,DE
DE2530401,Wallmoor und Mühlenbachniederung bei Leisterförde - Schwanheide,2017/11/29,DE
DE2531401,Schaale - Schildetal mit angrenzenden Wäldern und Feldmark,2017/11/29,DE
DE2534401,Feldmark Rastow - Kraak,2017/11/29,DE
DE2526402,Untere Seeve- und Untere Luhe-Ilmenau-Niederung,2017/11/29,DE
DE2533401,Hagenower Heide,2017/11/29,DE
DE2550401,Caselower Heide,2017/11/29,DE
DE2549471,Mittleres Ueckertal,2017/11/29,DE
DE2524401,Moore bei Buxtehude,2017/11/29,DE
DE2539401,Plauer Stadtwald,2017/11/29,DE
DE2633401,Feldmark Strohkirchen,2017/11/29,DE
DE2535402,Lewitz,2017/11/29,DE
DE2437401,Wälder und Feldmark bei Techentin - Mestlin,2017/11/29,DE
DE2635401,Ludwigsluster - Grabower Heide,2017/11/29,DE
DE2609401,Emsmarsch von Leer bis Emden,2017/11/29,DE
DE2534402,Feldmark Wöbbelin - Fahrbinde,2017/11/29,DE
DE2547471,Feldberger Seenlandschaft und Teile des Woldegker Hügellands,2017/11/29,DE
DE2638471,Elde - Gehlsbachtal und Quaßliner Moor,2017/11/29,DE
DE2651471,Randowtal,2017/11/29,DE
DE2709401,Rheiderland,2017/11/29,DE
DE2617401,Unterweser,2017/11/29,DE
DE2640401,Feldmark Massow-Wendisch Priborn-Satow,2017/11/29,DE
DE2732473,Mecklenburgisches Elbetal,2017/11/29,DE
DE2611401,Fehntjer Tief,2017/11/29,DE
DE2734401,Feldmark Eldena bei Grabow,2017/11/29,DE
DE2639471,Retzower Heide,2017/11/29,DE
DE2733401,Lübtheener Heide,2017/11/29,DE
DE2736471,Feldmark Stolpe - Karrenzin - Dambeck - Werle,2017/11/29,DE
DE2645402,Wald- und Seenlandschaft Lieps-Serrahn,2017/11/29,DE
DE2723401,Moore bei Sittensen,2017/11/29,DE
DE2642401,Müritz-Seenland und Neustrelitzer Kleinseenplatte,2017/11/29,DE
DE2719401,Hammeniederung,2017/11/29,DE
DE2909401,Emstal von Lathen bis Papenburg,2017/11/29,DE
DE2832401,Niedersächsische Mittelelbe,2017/11/29,DE
DE2816401,Hunteniederung,2017/11/29,DE
DE2933401,Lucie,2017/11/29,DE
DE2741401,Buchholzer-Krümmeler Heide,2017/11/29,DE
DE2820402,Wümmewiesen bei Fischerhude,2017/11/29,DE
DE2911401,Esterweger Dose,2017/11/29,DE
DE3124401,Truppenübungsplatz Bergen,2017/11/29,DE
DE2930401,Ostheide bei Himbergen und Bad Bodenteich,2017/11/29,DE
DE3026401,Truppenübungsplätze Munster Nord und Süd,2017/11/29,DE
DE3211431,Niederungen der Süd- und Mittelradde und der Marka,2017/11/29,DE
DE3032401,Landgraben- und Dummeniederung,2017/11/29,DE
DE2931401,Drawehn,2017/11/29,DE
DE3027401,Große Heide bei Unterlüß und Kiehnmoor,2017/11/29,DE
DE3224401,Ostenholzer Moor und Meißendorfer Teiche,2017/11/29,DE
DE3222401,Untere Allerniederung,2017/11/29,DE
DE3229401,Schweimker Moor und Lüderbruch,2017/11/29,DE
DE3227401,Südheide und Aschauteiche bei Eschede,2017/11/29,DE
DE3418401,Diepholzer Moorniederung,2017/11/29,DE
DE3408401,Dalum-Wietmarscher Moor und Georgsdorfer Moor,2017/11/29,DE
DE3431401,Drömling,2017/11/29,DE
DE3420401,Wesertalaue bei Landesbergen,2017/11/29,DE
DE3429401,Großes Moor bei Gifhorn,2017/11/29,DE
DE3419401,Kuppendorfer Böhrde,2017/11/29,DE
DE3415401,Dümmer,2017/11/29,DE
DE3520431,Schaumburger Wald,2017/11/29,DE
DE3521401,Steinhuder Meer,2017/11/29,DE
DE3530401,Barnbruch,2017/11/29,DE
DE3509401,Engdener Wüste,2017/11/29,DE
DE3727401,Lengeder Teiche,2017/11/29,DE
DE3513401,Alfsee,2017/11/29,DE
DE3720431,Uhu-Brutplätze im Weserbergland,2017/11/29,DE
DE4029401,Okertal bei Vienenburg,2017/11/29,DE
DE4022431,Sollingvorland,2017/11/29,DE
DE4128431,Klippen im Okertal,2017/11/29,DE
DE3928401,Innerstetal von Langelsheim bis Groß Düngen,2017/11/29,DE
DE3825401,Hildesheimer Wald,2017/11/29,DE
DE3828401,Heerter See,2017/11/29,DE
DE4223401,Solling,2017/11/29,DE
DE4329401,Südharz bei Zorge,2017/11/29,DE
DE4229402,Nationalpark Harz,2017/11/29,DE
DE4225401,Leinetal bei Salzderhelden,2017/11/29,DE
DE4426401,Unteres Eichsfeld,2017/11/29,DE
DE6323441,Heiden und Wälder Tauberland,2017/11/29,DE
DE6418401,Wachenberg bei Weinheim,2017/11/29,DE
DE6422401,Lappen bei Walldürn,2017/11/29,DE
DE6425441,Wiesenweihe Taubergrund,2017/11/29,DE
DE6518401,Bergstraße Dossenheim - Schriesheim,2017/11/29,DE
DE6617441,Schwetzinger und Hockenheimer Hardt,2017/11/29,DE
DE6618401,Steinbruch Leimen,2017/11/29,DE
DE6624401,Jagst mit Seitentälern,2017/11/29,DE
DE6616441,Rheinniederung Altlußheim - Mannheim,2017/11/29,DE
DE6618402,Felsenberg,2017/11/29,DE
DE6717401,Wagbachniederung,2017/11/29,DE
DE6726441,Hohenloher Ebene östlich von Wallhausen,2017/11/29,DE
DE6817441,Saalbachniederung bei Hambrücken,2017/11/29,DE
DE6816401,Rheinniederung Karlsruhe - Rheinsheim,2017/11/29,DE
DE6916441,Hardtwald nördlich von Karlsruhe,2017/11/29,DE
DE6919441,Stromberg,2017/11/29,DE
DE7018401,Weiher bei Maulbronn,2017/11/29,DE
DE7214441,Riedmatten und Schiftunger Bruch,2017/11/29,DE
DE7226441,Albuch,2017/11/29,DE
DE7016401,Kälberklamm und Hasenklamm,2017/11/29,DE
DE6823441,Kocher mit Seitentälern,2017/11/29,DE
DE7015441,Rheinniederung Elchesheim - Karlsruhe,2017/11/29,DE
DE7021401,Pleidelsheimer Wiesental mit Altneckar,2017/11/29,DE
DE7313441,Renchniederung,2017/11/29,DE
DE7225401,Albtrauf Heubach,2017/11/29,DE
DE7314441,Acher-Niederung,2017/11/29,DE
DE7313401,Rheinniederung Kehl - Helmlingen,2017/11/29,DE
DE7322401,Grienwiesen und Wernauer Baggerseen,2017/11/29,DE
DE7019441,Enztal Mühlhausen - Roßwag,2017/11/29,DE
DE7418401,Ziegelberg,2017/11/29,DE
DE7313442,Korker Wald,2017/11/29,DE
DE7513442,Gottswald,2017/11/29,DE
DE7413441,Kammbach-Niederung,2017/11/29,DE
DE7323441,Vorland der mittleren Schwäbischen Alb,2017/11/29,DE
DE7415441,Nordschwarzwald,2017/11/29,DE
DE7712401,Rheinniederung Sasbach - Wittenweier,2017/11/29,DE
DE7519401,Mittlerer Rammert,2017/11/29,DE
DE7712402,Elzniederung zwischen Kenzingen und Rust,2017/11/29,DE
DE7527441,Donauried,2017/11/29,DE
DE7617401,Brandhalde,2017/11/29,DE
DE7624441,Täler der Mittleren Flächenalb,2017/11/29,DE
DE7717401,Schlichemtal,2017/11/29,DE
DE7712403,Johanniterwald,2017/11/29,DE
DE7820441,Südwestalb und Oberes Donautal,2017/11/29,DE
DE7718441,Wiesenlandschaft bei Balingen,2017/11/29,DE
DE7624402,Schmiechener See,2017/11/29,DE
DE7923401,Federseeried,2017/11/29,DE
DE7924401,Lindenweiher,2017/11/29,DE
DE8011401,Rheinniederung Neuenburg - Breisach,2017/11/29,DE
DE7915441,Mittlerer Schwarzwald,2017/11/29,DE
DE7921401,Baggerseen Krauchenwies/Zielfingen,2017/11/29,DE
DE8012441,Schönberg bei Freiburg,2017/11/29,DE
DE8011441,Bremgarten,2017/11/29,DE
DE7327441,Eselsburger Tal,2017/11/29,DE
DE8022401,Pfrunger und Burgweiler Ried,2017/11/29,DE
DE8025401,Wurzacher Ried,2017/11/29,DE
DE8123441,Blitzenreuter Seenplatte mit Altshauser Weiher,2017/11/29,DE
DE8116441,Wutach und Baaralb,2017/11/29,DE
DE8114441,Südschwarzwald,2017/11/29,DE
DE8211401,Rheinniederung Haltingen - Neuenburg mit Vorbergzone,2017/11/29,DE
DE8018401,Höwenegg,2017/11/29,DE
DE8220401,Untersee des Bodensees,2017/11/29,DE
DE8220403,Mindelsee,2017/11/29,DE
DE8125441,Rohrsee,2017/11/29,DE
DE8221401,Salemer Klosterweiher,2017/11/29,DE
DE8226441,Adelegg,2017/11/29,DE
DE8017441,Baar,2017/11/29,DE
DE8323401,Eriskircher Ried,2017/11/29,DE
