SITECODE,SITENAME,RELEASE_DA,MS
DE7224342,Albtrauf Donzdorf - Heubach,2019/12/13,DE
DE7316341,Kaltenbronner Enzhöhen,2019/12/13,DE
DE7315311,Talschwarzwald zwischen Bühlertal und Forbach,2019/12/13,DE
DE7314341,Schwarzwald-Westrand bei Achern,2019/12/13,DE
DE7322311,Albvorland Nürtingen-Kirchheim,2019/12/13,DE
DE7313341,Westliches Hanauer Land,2019/12/13,DE
DE7327341,Härtsfeld,2019/12/13,DE
DE7321341,Filder,2019/12/13,DE
DE7324341,Eybtal bei Geislingen,2019/12/13,DE
DE7319341,Gäulandschaft an der Würm,2019/12/13,DE
DE7317341,Kleinenztal und Schwarzwaldrandplatten,2019/12/13,DE
DE7325341,Steinheimer Becken,2019/12/13,DE
DE1541301,Darß,2019/12/13,DE
DE2320332,Osteschleifen zwischen Kranenburg und Nieder-Ochtenhausen,2019/12/13,DE
DE2322301,Schwingetal,2019/12/13,DE
DE2322331,Wasserkruger Moor und Willes Heide,2019/12/13,DE
DE6517341,Unterer Neckar Heidelberg - Mannheim,2019/12/13,DE
DE6518341,Odenwald bei Schriesheim,2019/12/13,DE
DE6620341,Bauland Mosbach,2019/12/13,DE
DE6617341,Sandgebiete zwischen Mannheim und Sandhausen,2019/12/13,DE
DE6619341,Odenwald-Neckargemünd,2019/12/13,DE
DE6623341,Jagsttal Dörzbach - Krautheim,2019/12/13,DE
DE6625341,Taubergrund Weikersheim - Niederstetten,2019/12/13,DE
DE6622341,Jagsttal bei Schöntal und Klosterwald,2019/12/13,DE
DE6518311,Steinachtal und Kleiner Odenwald,2019/12/13,DE
DE7015341,Rheinniederung zwischen Wintersdorf und Karlsruhe,2019/12/13,DE
DE6620342,Neckartal und Wald Obrigheim,2019/12/13,DE
DE7017341,Pfinzgau Ost,2019/12/13,DE
DE7017342,Pfinzgau West,2019/12/13,DE
DE7016343,Oberwald und Alb in Karlsruhe,2019/12/13,DE
DE7024341,Kochertal  Abtsgmünd - Gaildorf und Rottal,2019/12/13,DE
DE7025341,Oberes Bühlertal,2019/12/13,DE
DE7016341,Hardtwald zwischen Karlsruhe und Muggensturm,2019/12/13,DE
DE7018341,Stromberg,2019/12/13,DE
DE7114311,Rheinniederung und Hardtebene zwischen Lichtenau und Iffezheim,2019/12/13,DE
DE7116342,Wälder und Wiesen bei Malsch,2019/12/13,DE
DE7016342,Wiesen und Wälder bei Ettlingen,2019/12/13,DE
DE7021342,Nördliches Neckarbecken,2019/12/13,DE
DE7116341,Albtal mit Seitentälern,2019/12/13,DE
DE7021341,Löwensteiner und Heilbronner Berge,2019/12/13,DE
DE7118341,Würm-Nagold-Pforte,2019/12/13,DE
DE7018342,Enztal bei Mühlacker,2019/12/13,DE
DE7026341,Virngrund und Ellwanger Berge,2019/12/13,DE
DE7117341,Bocksbach und obere Pfinz,2019/12/13,DE
DE7119341,Strohgäu und unteres Enztal,2019/12/13,DE
DE1649401,Westliche Pommersche Bucht,2019/12/13,DE
DE1647401,Granitz,2019/12/13,DE
DE1747402,Greifswalder Bodden und südlicher Strelasund,2019/12/13,DE
DE1848401,Waldgebiet bei Karlshagen,2019/12/13,DE
DE1940401,Teufelsmoor bei Horst,2019/12/13,DE
DE1941401,Recknitz- und Trebeltal mit Seitentälern und Feldmark,2019/12/13,DE
DE1934401,Wismarbucht und Salzhaff,2019/12/13,DE
DE1946402,Wälder südl. Greifswald,2019/12/13,DE
DE1949401,Peenestrom und Achterwasser,2019/12/13,DE
DE2121401,Unterelbe,2019/12/13,DE
DE2137401,"Warnowtal, Sternberger Seen und untere Mildenitz",2019/12/13,DE
DE2050404,Süd-Usedom,2019/12/13,DE
DE1743401,Nordvorpommersche Waldlandschaft,2019/12/13,DE
DE2136401,Schlemminer Wälder,2019/12/13,DE
DE2213401,Wangerland,2019/12/13,DE
DE2142401,Kämmericher Senke,2019/12/13,DE
DE2233401,Stepenitz - Poischower Mühlenbach - Radegast - Maurine,2019/12/13,DE
DE2239401,Nebel und Warinsee,2019/12/13,DE
DE2147401,Peenetallandschaft,2019/12/13,DE
DE2251403,Binnendünen und Wälder bei Altwarp,2019/12/13,DE
DE2210401,Niedersächsisches Wattenmeer und angrenzendes Küstenmeer,2019/12/13,DE
DE2243401,Wald bei Grammentin,2019/12/13,DE
DE2314431,Voslapper Groden-Nord,2019/12/13,DE
DE2309431,Ostfriesische Seemarsch zwischen Norden und Esens,2019/12/13,DE
DE1946401,Eldena bei Greifswald,2019/12/13,DE
DE2235402,Schweriner Seen,2019/12/13,DE
DE2242401,Mecklenburgische Schweiz und Kummerower See,2019/12/13,DE
DE2339402,Nossentiner/Schwinzer Heide,2019/12/13,DE
DE2350401,Ueckermünder Heide,2019/12/13,DE
DE2408401,Westermarsch,2019/12/13,DE
DE2331471,Schaalsee-Landschaft,2019/12/13,DE
DE2414431,Voslapper Groden-Süd,2019/12/13,DE
DE2416431,Butjadingen,2019/12/13,DE
DE2410401,Ewiges Meer,2019/12/13,DE
DE2441401,"Klocksiner Seenkette, Kölpin- und Fleesensee",2019/12/13,DE
DE2446401,Waldlandschaft bei Cölpin,2019/12/13,DE
DE2347401,"Großes Landgrabental, Galenbecker und Putzarer See",2019/12/13,DE
DE2450402,Koblentzer See,2019/12/13,DE
DE2250471,"Kleines Haff, Neuwarper See und Riether Werder",2019/12/13,DE
DE2509401,Ostfriesische Meere,2019/12/13,DE
DE2437401,Wälder und Feldmark bei Techentin - Mestlin,2019/12/13,DE
DE2524401,Moore bei Buxtehude,2019/12/13,DE
DE2530401,Wallmoor und Mühlenbachniederung bei Leisterförde - Schwanheide,2019/12/13,DE
DE2514431,Marschen am  Jadebusen,2019/12/13,DE
DE2526402,Untere Seeve- und Untere Luhe-Ilmenau-Niederung,2019/12/13,DE
DE2533401,Hagenower Heide,2019/12/13,DE
DE2531401,Schaale - Schildetal mit angrenzenden Wäldern und Feldmark,2019/12/13,DE
DE2535402,Lewitz,2019/12/13,DE
DE2547471,Feldberger Seenlandschaft und Teile des Woldegker Hügellands,2019/12/13,DE
DE2539401,Plauer Stadtwald,2019/12/13,DE
DE2534402,Feldmark Wöbbelin - Fahrbinde,2019/12/13,DE
DE2448401,Brohmer Berge,2019/12/13,DE
DE2550401,Caselower Heide,2019/12/13,DE
DE2633401,Feldmark Strohkirchen,2019/12/13,DE
DE2635401,Ludwigsluster - Grabower Heide,2019/12/13,DE
DE2638471,Elde - Gehlsbachtal und Quaßliner Moor,2019/12/13,DE
DE2508401,Krummhörn,2019/12/13,DE
DE2611401,Fehntjer Tief,2019/12/13,DE
